Sector,company_name,location,start_date,duration,stipend,skills
PHP Laravel Development,Across The Globe (ATG),Work From Home,Immediately,6 Months,"? 2,500 /month +  Incentives","PHP, Laravel, MySQL, REST APIs, Web Development"
Campus Ambassador,Subhansh Sewa Trust,Work From Home,Immediately,6 Months,Performance Based,"Communication, Problem Solving, Teamwork, MS Office"
Social Work,Subhansh Sewa Trust,Work From Home,Immediately,6 Months,Unpaid,"Social Work, Communication, Empathy, Community Development"
Social (Fundraising),Subhansh Sewa Trust,Work From Home,Immediately,6 Months,Unpaid,"Fundraising, Communication, Networking, Persuasion"
Human Resources (HR),Paisabazaar,Gurgaon,Immediately,6 Months,"? 20,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
Sales,Prolance,Bangalore,Immediately,6 Months,"? 5,000 /month","Communication, Negotiation, CRM, Lead Generation, Presentation"
Sales  Executive,NoBroker Technologies Solutions Private Limited,Bangalore,Immediately,6 Months,"? 12,000 /month","Communication, MS Office, Organization, Problem Solving, Negotiation, CRM, Lead Generation, Presentation"
Marketing,HarperCollins Publishers India Private Limited,Gurgaon,Immediately,6 Months,"? 5,000 /month","Marketing Strategy, Communication, Analytics, Content Creation"
Human Resources (HR),Zucol Group Of Companies,Gurgaon,Immediately,6 Months,"? 8,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
Sales,NoBroker Technologies Solutions Private Limited,Chennai,Immediately,6 Months,"? 12,000 /month","Communication, Negotiation, CRM, Lead Generation, Presentation"
Recruitment,Ozzone Group,Work From Home,Immediately,6 Months,"? 4,500 /month","Sourcing, Communication, LinkedIn, ATS, Screening"
Sales,Reliance Brands Limited,Chandigarh,Immediately,6 Months,"? 14,000 /month","Communication, Negotiation, CRM, Lead Generation, Presentation"
UX Design,Techolution,Work From Home,Immediately,6 Months,"? 15,000 /month","User Research, Wireframing, Prototyping, Usability Testing, Figma"
HR Consultant,Paracoat Products Limited,Gurgaon,Immediately,6 Months,"? 15,000 /month","Domain Knowledge, Communication, Problem Solving, Presentation, HR Policies, Recruitment, Excel, HRIS"
Law/Legal,Techolution,Work From Home,Immediately,6 Months,"? 15,000 /month","Legal Research, Contract Drafting, Legal Writing, Compliance, Case Analysis, Regulatory Compliance"
L&D,Godrej And Boyce Manufacturing Company Limited,Mumbai,Immediately,6 Months,"? 4,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Human Resources (HR),Trent Hypermarket Private Limited - STAR Bazaar,Mumbai,Immediately,6 Months,"? 7,000-10,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
Search Engine Optimization (SEO),CollegeDunia Web Private Limited,Work From Home,Immediately,6 Months,"? 15,000-20,000 /month","SEO, Google Analytics, Keyword Research, HTML, Content Writing"
Human Resources (HR),International SOS,Mumbai,Immediately,6 Months,"? 15,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
Launch Management,Cultfit Healthcare Private Limited,Hyderabad,Immediately,6 Months,"? 25,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving"
Marketing,Shree Maruti Courier Service Private Limited,Sachin INA,Immediately,6 Months,"? 7,000-12,000 /month","Marketing Strategy, Communication, Analytics, Content Creation"
HR - Talent Acquisition,Niva Bupa Health Insurance,Noida,Immediately,6 Months,"? 10,000 /month","Sourcing, Communication, LinkedIn, ATS, Interviewing, Screening, HR Tools, HR Policies"
Campus Ambassador,Across The Globe (ATG),Work From Home,Immediately,6 Months,Performance Based,"Communication, Problem Solving, Teamwork, MS Office"
Customer Support,NoBroker Technologies Solution Private Limited,Bangalore,Immediately,6 Months,"? 12,000 /month","Communication, Problem Solving, CRM, Patience, Active Listening, Customer Support, Troubleshooting, Ticketing Systems"
Human Resources (HR),Motilal Oswal Financial Services Limited,Mumbai,Immediately,6 Months,"? 5,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
Sales,Across The Globe (ATG),Work From Home,Immediately,3 Months,"? 2,000-2,500 /month","Communication, Negotiation, CRM, Lead Generation, Presentation"
Marketing,Vedantu Innovations,Tiruchirappalli,Immediately,3 Months,"? 20,000 /month","Marketing Strategy, Communication, Analytics, Content Creation"
Generative Adversarial Networks,Across The Globe (ATG),Work From Home,Immediately,3 Months,"? 8,000-12,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Node.js Development,Across The Globe (ATG),Work From Home,Immediately,3 Months,"? 2,500 /month +  Incentives","Node.js, JavaScript, Express.js, REST APIs, MongoDB"
Product Management (Technical),Across The Globe (ATG),Work From Home,Immediately,3 Months,"? 2,000-8,000 /month","Product Strategy, Agile, User Research, Communication, Analytics, Leadership, Planning, MS Office"
Web Development (Frontend),Across The Globe (ATG),Work From Home,Immediately,3 Months,"? 2,500-7,500 /month","HTML, CSS, JavaScript, Git, Responsive Design, React/Angular/Vue"
Sales,NoBroker Technologies Solutions Private Limited,Hyderabad,Immediately,3 Months,"? 15,000 /month","Communication, Negotiation, CRM, Lead Generation, Presentation"
Technical Content Writing,Across The Globe (ATG),Work From Home,Immediately,3 Months,"? 2,500 /month +  Incentives","Writing, Research, SEO, Grammar, Creativity, Editing"
MERN Stack Development,Across The Globe (ATG),Work From Home,Immediately,3 Months,"? 4,000-10,000 /month","MongoDB, Express.js, React, Node.js, JavaScript"
ReactJs Development,Across The Globe (ATG),Work From Home,Immediately,3 Months,"? 2,500-5,000 /month","React, JavaScript, HTML, CSS, Redux, REST APIs"
Python Django Development,Across The Globe (ATG),Work From Home,Immediately,3 Months,"? 2,500 /month +  Incentives","Python, OOP, Data Structures, Problem Solving, Django, REST APIs, PostgreSQL, ORM"
Python Automation,Across The Globe (ATG),Work From Home,Immediately,3 Months,"? 2,500 /month +  Incentives","Python, OOP, Data Structures, Problem Solving"
HR & Admin,Modenik Lifestyle Private Limited,Bangalore,Immediately,3 Months,"? 8,000 /month","MS Office, Communication, Organization, Data Entry, Scheduling, HR Policies, Recruitment, Excel"
Resource Management,Techolution,Hyderabad,Immediately,3 Months,"? 15,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving"
Project Management,IIT Bombay,Work From Home,Immediately,3 Months,"? 1,000-2,000 /month","Project Planning, Agile/Scrum, Communication, MS Project, Risk Management, Leadership, Planning, MS Office"
Business Development,Ozzone Group,Work From Home,Immediately,3 Months,"? 10,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM"
Business Development (Sales),NoBroker Technologies Solutions Private Limited,Ahmedabad,Immediately,3 Months,"? 15,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Sales Promotion,IndiaFirst Life Private Limited,Mumbai,Immediately,3 Months,"? 25,000 /month","Communication, Negotiation, CRM, Lead Generation, Presentation"
UI Design,Pepperfry,Mumbai,Immediately,3 Months,"? 20,000-25,000 /month","Figma, Adobe XD, Visual Design, Typography, Prototyping"
Project Management (Marketing),Across The Globe (ATG),Work From Home,Immediately,3 Months,"? 2,500-7,000 /month","Project Planning, Agile/Scrum, Communication, MS Project, Risk Management, Leadership, Planning, MS Office"
Finance & Accounting,MetrixLab,Hyderabad,Immediately,3 Months,"? 18,000 /month","Tally, Excel, Financial Statements, GST, Bookkeeping, Financial Analysis, Accounting Basics, Financial Modeling"
Customer Relationship,NoBroker Technologies Solutions Private Limited,Bangalore,Immediately,3 Months,"? 12,000 /month","Communication, Problem Solving, CRM, Patience, Active Listening"
Talent Acquisition,Amara Raja Group,Hyderabad,Immediately,3 Months,"? 15,000 /month","Sourcing, Communication, LinkedIn, ATS, Interviewing, Screening, HR Tools"
Communication & Project Management,Teach For India,Hyderabad,Immediately,3 Months,"? 4,000 /month","Project Planning, Agile/Scrum, Communication, MS Project, Risk Management, Leadership, Planning, MS Office"
Logistics And Operations,Delhivery,Mumbai,Immediately,3 Months,"? 8,000 /month","Process Optimization, Excel, Communication, Project Management, Logistics Management, Supply Chain, Coordination"
Event Management,Times Internet,Noida,Immediately,3 Months,"? 10,000 /month","Event Planning, Communication, Budgeting, Vendor Management, Coordination, Leadership, Planning, MS Office"
Content Writing,LeadSquared,Bangalore,Immediately,3 Months,"? 20,000 /month","Writing, Research, SEO, Grammar, Creativity, Editing"
Environment Education Program (Mumbai),WWF-India,Mumbai,Immediately,3 Months,"? 10,000 /month","Environmental Science, Data Analysis, Research, Sustainability"
Business Development (Sales),Anarock Property Consultant Private Limited,Bangalore,Immediately,3 Months,"? 20,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Human Resources (HR),Zee Media Corporation Limited,Noida,Immediately,3 Months,"? 2,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
Finance,CaratLane Trading Private Limited,Chennai,Immediately,3 Months,"? 15,000 /month","Financial Analysis, Excel, Accounting Basics, Financial Modeling"
Customer Service,Ferns N Petals,Gurgaon,Not specified,3 Months,"? 15,000 /month","Communication, Problem Solving, CRM, Patience, Active Listening"
Advertising Sales(Business Development) - Kerala (Malayalam),ShareChat,Work From Home,Immediately,3 Months,"? 15,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Advertising Strategy, Copywriting, Adobe Creative Suite"
Human Resources (HR),Agarwal Packers & Movers Limited,Delhi,Immediately,3 Months,"? 10,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
Legal,Sanghvi Beauty & Technologies Private Limited (MyGlamm),Mumbai,Immediately,3 Months,"? 15,000 /month","Legal Research, Contract Drafting, Legal Writing, Compliance"
Sales,NoBroker Technologies Solutions Private Limited,Vadodara,Immediately,3 Months,"? 12,000 /month","Communication, Negotiation, CRM, Lead Generation, Presentation"
Human Resources (HR),MAHANADI SPICES,Bilaspur,Immediately,3 Months,"? 20,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
Fundraising,Marpu Foundation,Work From Home,Immediately,3 Months,Unpaid,"Fundraising, Communication, Networking, Persuasion"
Recruitment,Marpu Foundation,Work From Home,Immediately,3 Months,Unpaid,"Sourcing, Communication, LinkedIn, ATS, Screening"
Human Resources (HR),Marpu Foundation,Work From Home,Immediately,3 Months,Unpaid,"Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
Talent Acquisition,Marpu Foundation,Work From Home,Immediately,1 Week,Unpaid,"Sourcing, Communication, LinkedIn, ATS, Interviewing, Screening, HR Tools"
"New Client Aquisition, Key Accounts Management",Pepperfry Limited,Panvel,Immediately,1 Week,"? 8,000 /month +  Incentives","Leadership, Communication, Planning, MS Office, Problem Solving, Client Management, CRM"
Talent Acquisition,Scaler Academy,Work From Home,Immediately,1 Week,"? 5,000-8,000 /month","Sourcing, Communication, LinkedIn, ATS, Interviewing, Screening, HR Tools"
Omni Sport Leadership - Hiking/Trekking,Decathlon,Mumbai,Immediately,1 Week,"? 15,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Business Development Management,Across The Globe (ATG),Work From Home,Immediately,1 Week,"? 1,000-1,500 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Leadership, Planning, MS Office"
Data Entry With Marketing,Across The Globe (ATG),Work From Home,Immediately,1 Week,"? 1,000-1,500 /month","Typing Speed, MS Excel, Attention to Detail, Data Management, Marketing Strategy, Communication, Analytics, Content Creation"
Social Work,Marpu Foundation,Work From Home,Immediately,1 Week,Unpaid,"Social Work, Communication, Empathy, Community Development"
Human Resources (HR),Jiva Ayurveda,Faridabad,Immediately,1 Week,"? 5,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
Campus Ambassador,IIT Roorkee,Work From Home,Immediately,1 Week,Performance Based,"Communication, Problem Solving, Teamwork, MS Office"
Content Writing,Xiaomi Technology India Private Limited,Bangalore,Immediately,1 Week,"? 20,000 /month","Writing, Research, SEO, Grammar, Creativity, Editing"
Operations,NoBroker Technologies Solutions Private Limited,Noida,Immediately,1 Week,"? 15,000 /month","Process Optimization, Excel, Communication, Project Management"
Resource Management,Techolution,Hyderabad,Immediately,1 Week,"? 15,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving"
Human Resources (HR),Zucol Group Of Companies,Jaipur,Immediately,1 Week,"? 7,000-10,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
HR Operations,Freecharge Payments Technology Private Limited,Gurgaon,Immediately,1 Week,"? 15,000 /month","Process Optimization, Excel, Communication, Project Management, HR Policies, Recruitment, HRIS"
Guest Relation Operations,Apollo Hospitals,Navi Mumbai,Immediately,1 Week,"? 5,000 /month","Process Optimization, Excel, Communication, Project Management"
Business Development (Sales),Decathlon Sport India,Ahmedabad,Immediately,1 Week,"? 10,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Event Coordination,Aam Aadmi Party,Delhi,Immediately,1 Week,Unpaid,"Event Planning, Coordination, Communication, Organization"
Graphic Design,Educate Girls,Mumbai,Immediately,1 Week,"? 12,000-15,000 /month","Adobe Photoshop, Adobe Illustrator, Canva, Typography, Color Theory"
Human Resources (HR),Subhansh Sewa Trust,Work From Home,Immediately,1 Week,Unpaid,"Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
Induction Representation,Subhansh Sewa Trust,Work From Home,Immediately,1 Week,Unpaid,"PowerPoint, Communication, Design, Public Speaking"
Business Development (Sales),Urban Company,Bhubaneswar,Immediately,1 Week,"? 20,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Human Resources (HR),Community Action Through Motivation Program,Naya Raipur,Immediately,1 Week,"? 3,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
Field Sales,LIC,Ahmedabad,Immediately,1 Week,"? 5,000 /month +  Incentives","Communication, Travel, Negotiation, Territory Management, CRM, Lead Generation, Presentation"
Business Development (Sales),Decathlon Sports India,Ahmedabad,Immediately,1 Week,"? 5,000-10,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
City Management,Urban Company,Mumbai,Immediately,1 Week,"? 20,000-25,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving"
Social Media Management,Life Fitness,Work From Home,Immediately,1 Week,"? 1,000 /month","Social Media Platforms, Content Creation, Canva, Analytics, Copywriting, Leadership, Communication, Planning"
Human Resources (HR),Paradise Food Court Private Limited,Hyderabad,Immediately,1 Week,"? 5,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
Video Editor,Subhansh Sewa Trust,Work From Home,Immediately,1 Week,Unpaid,"Communication, Problem Solving, Teamwork, MS Office"
Human Resources (HR),APAC Financial Services Private Limited,Mumbai,Immediately,1 Week,"? 8,000-10,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
Social Media Marketing,Sportskeeda,Work From Home,Immediately,1 Week,"? 10,000 /month","Social Media Platforms, Content Creation, Canva, Analytics, Copywriting, Marketing Strategy, Communication"
Omni Sports Leader,Decathlon,Thane,Immediately,1 Week,"? 10,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Graphic Design,CIIE Initiatives (IIM Ahmedabad),Ahmedabad,Immediately,1 Week,"? 10,000 /month","Adobe Photoshop, Adobe Illustrator, Canva, Typography, Color Theory"
Business Development (Sales),Urban Company,Bangalore,Immediately,1 Week,"? 18,000-25,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Graphic Design,Saregama India Limited,Chennai,Immediately,1 Week,"? 5,000-10,000 /month","Adobe Photoshop, Adobe Illustrator, Canva, Typography, Color Theory"
Android App Development,Star Health & Allied Insurance Company Limited,Vrindavan,Immediately,1 Week,"? 5,000 /month","Mobile Development, UI/UX, REST APIs, Git, Java/Kotlin, Android SDK, XML, Android Studio"
Talent Acquisition,Techolution,Work From Home,Immediately,1 Week,"? 15,000 /month","Sourcing, Communication, LinkedIn, ATS, Interviewing, Screening, HR Tools"
Telecalling,Air India SATS Airport Services Private Limited,Delhi,Immediately,1 Week,"? 7,000-15,000 /month","Communication, CRM, Sales Pitch, Customer Service, Negotiation, Customer Handling"
Business Development (Sales),Urban Company,Mumbai,Immediately,1 Week,"? 20,000-25,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Operations,PcsInfinity,Delhi,Immediately,3 Months,"? 10,000 lump sum","Process Optimization, Excel, Communication, Project Management"
Company Secretary (CS),Justdial,Mumbai,Immediately,1 Week,"? 12,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Human Resources (HR),Media.net,Bangalore,Immediately,1 Week,"? 15,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
Content Writing,OfBusiness,Gurgaon,Immediately,4 Months,"? 20,000 /month","Writing, Research, SEO, Grammar, Creativity, Editing"
Talent Acquisition,Ozone Overseas Private Limited,Gurgaon,Immediately,4 Months,"? 15,000 /month","Sourcing, Communication, LinkedIn, ATS, Interviewing, Screening, HR Tools"
Webinar Operations & Strategy,Simplilearn Solutions Private Limited,Bangalore,Immediately,4 Months,"? 15,000 /month","Process Optimization, Excel, Communication, Project Management"
Business Development (Sales),Pioneer E Solutions,Gurgaon,Immediately,4 Months,"? 15,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Social Media Manager,Subhansh Sewa Trust,Work From Home,Immediately,4 Months,Unpaid,"Social Media Platforms, Content Creation, Canva, Analytics, Copywriting"
Journalism,Press Trust Of India,Delhi,Immediately,4 Months,"? 20,000 /month","Journalism, Writing, Research, Interviewing, Fact-checking"
Business Operations,Pristyn Care,Gurgaon,Immediately,4 Months,"? 8,000 /month","Process Optimization, Excel, Communication, Project Management"
Online Reputation Management,Motilal Oswal Financial Services Limited,Mumbai,Immediately,4 Months,"? 5,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving"
Strategy and Research,Vedantu,Bangalore,Immediately,4 Months,"? 25,000-35,000 /month","Research Methodology, Data Analysis, Academic Writing, Literature Review"
Human Resources (HR),Subhansh Sewa Trust,Work From Home,Immediately,4 Months,Unpaid,"Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
HR,AU Small Finance Bank,Mumbai,Immediately,4 Months,"? 2,000 /month","Communication, HR Policies, Recruitment, Excel, HRIS"
Business Development,CollegeDunia Web Private Limited,Gurgaon,Immediately,4 Months,"? 10,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM"
Web Maintenance,Tata Motors,Mumbai,Immediately,4 Months,"? 8,000 /month","Communication, Problem Solving, Teamwork, MS Office"
User Research,Leverage Edu,Noida,Immediately,4 Months,"? 10,000 /month","User Research, Surveys, Interviews, Usability Testing, Analytics, Research Methodology, Data Analysis, Academic Writing"
Nutraceuticals-Project,Akums Drugs & Pharmaceuticals Limited,Delhi,Immediately,4 Months,"? 12,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Finance & Accounting,Ieng Groups,Bangalore,Immediately,4 Months,"? 5,000 /month","Tally, Excel, Financial Statements, GST, Bookkeeping, Financial Analysis, Accounting Basics, Financial Modeling"
Sales Administration,Fresenius Kabi,Pune,Immediately,4 Months,"? 20,000 /month","Communication, Negotiation, CRM, Lead Generation, Presentation, MS Office, Organization, Data Entry"
Marketing And Communications,Zee Entertainment Enterprises Limited,Mumbai,Immediately,4 Months,"? 5,000-7,000 /month","Marketing Strategy, Communication, Analytics, Content Creation"
Business Development (Sales),Urban Company,Patna,Immediately,4 Months,"? 20,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Human Resources (HR),SILA Group,Bangalore,Immediately,4 Months,"? 8,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
Program Operations,Bharti Foundation,Gurgaon,Immediately,4 Months,"? 17,500 /month","Process Optimization, Excel, Communication, Project Management"
Volunteering,International Human Rights Protection Commission,Andhra Pradesh,Immediately,4 Months,Unpaid,"Communication, Teamwork, Empathy, Adaptability"
Social Entrepreneurship,Subhansh Sewa Trust,Work From Home,Immediately,4 Months,Unpaid,"Communication, Problem Solving, Teamwork, MS Office"
HR,Gupshup Technology,Mumbai,Immediately,4 Months,"? 10,000 /month","Communication, HR Policies, Recruitment, Excel, HRIS"
Graphic Design,Bajaj Finance Limited,Pune,Immediately,4 Months,"? 5,000-15,000 /month","Adobe Photoshop, Adobe Illustrator, Canva, Typography, Color Theory"
Graphic And Content,Hero Vired,Delhi,Immediately,4 Months,"? 20,000 /month","Communication, Problem Solving, Teamwork, MS Office"
DEI Consulting,Godrej Agrovet Limited,Mumbai,Immediately,4 Months,"? 10,000-15,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Fundraising,WWF India,Delhi,Immediately,4 Months,"? 18,000 /month","Fundraising, Communication, Networking, Persuasion"
Angular UI Development & UI Design,IIT Bombay,Work From Home,Immediately,4 Months,"? 1,000-2,000 /month","Figma, Adobe XD, Visual Design, Typography, Prototyping, Angular, TypeScript, HTML"
Teaching GPAT And Pharmacy Exams,Unacademy,Work From Home,Immediately,4 Months,"? 20,000 /month","Subject Knowledge, Communication, Patience, Lesson Planning, Pharmacology, Drug Interactions, Clinical Research, Documentation"
Business Operations And Research,Benesse India,Delhi,Immediately,4 Months,"? 25,000 /month","Process Optimization, Excel, Communication, Project Management, Research Methodology, Data Analysis, Academic Writing, Literature Review"
Business Development & Brand Solution,Hungama Digital Media Entertainment Private Limited,Mumbai,Immediately,4 Months,"? 5,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Brand Strategy, Visual Identity, Adobe Creative Suite"
Supply Chain & Logistics Operations,Inland World Logistics Private Limited,Coimbatore,Immediately,4 Months,"? 10,000 /month","Supply Chain Management, Logistics, Excel, Inventory Management, Process Optimization, Communication, Project Management, Logistics Management"
Content Writing,HT Media,Mumbai,Immediately,4 Months,"? 3,500-5,000 /month","Writing, Research, SEO, Grammar, Creativity, Editing"
Motion Design,NoBroker,Bangalore,Immediately,4 Months,"? 12,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Sales Trainee,Pioneer E-Solutions,Gurgaon,Immediately,4 Months,"? 10,000 /month","Communication, Eagerness to Learn, Adaptability, Teamwork, Negotiation, CRM, Lead Generation, Presentation"
Retail Management,Decathlon Sports India,Patna,Immediately,4 Months,"? 7,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving"
Operation Analyst,Apollo247,Gurgaon,Immediately,4 Months,"? 15,000 /month","Analytical Thinking, Excel, Data Analysis, Communication, SQL"
Omni Sports Leadership,Decathlon Sport India Private Limited,Ludhiana,Immediately,4 Months,"? 10,000 /month","Communication, Problem Solving, Teamwork, MS Office"
HR Operations,UpGrad (U Education Management Private Limited),Gurgaon,Immediately,4 Months,"? 10,000 /month","Process Optimization, Excel, Communication, Project Management, HR Policies, Recruitment, HRIS"
Human Resources (HR),Hungama Digital Media Entertainment Private Limited,Mumbai,Immediately,6 Months,"? 5,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
Omni Sports Leading,Decathlon Sport India Private Limited,Mumbai,Immediately,6 Months,"? 13,000 /month","Communication, Problem Solving, Teamwork, MS Office"
IT Coordination,Vaibhav Global Limited,Jaipur,Immediately,6 Months,"? 10,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Admin,Worldwide Media (Times Group),Mumbai,Immediately,6 Months,"? 5,000 /month","MS Office, Communication, Organization, Data Entry, Scheduling"
Graphic Design,Priyanka Singh,Jaipur,Immediately,6 Months,"? 5,000 /month +  Incentives","Adobe Photoshop, Adobe Illustrator, Canva, Typography, Color Theory"
Software Development – Vagyojaka Tool,IIT Bombay,Work From Home,Immediately,6 Months,"? 3,000-5,000 /month","Communication, Problem Solving, Teamwork, MS Office"
